"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
8.53678712185354e-20,1.17377335685643,0.284,0.135,1.170734985891e-15,"0","TRAT1"
1.15111022404735e-19,0.469175096090553,0.617,0.421,1.57863256125853e-15,"0","SELL"
5.51015449799214e-19,0.263469459487203,0.998,0.983,7.55662587854642e-15,"0","RPS9"
2.7641840929746e-18,1.09878335425491,0.281,0.138,3.79080206510536e-14,"0","FLT3LG"
8.46851754490488e-18,0.608234951645877,0.668,0.485,1.16137249610826e-13,"0","EVL"
3.7010344545921e-17,0.515001195031353,0.758,0.601,5.0755986510276e-13,"0","HINT1"
9.5572155175673e-17,0.87281354974524,0.411,0.254,1.31067653607918e-12,"0","DNAJB1"
1.05486586429055e-16,0.944899671335541,0.271,0.133,1.44664304628806e-12,"0","AQP3"
1.71019470311305e-16,0.4405817192458,0.848,0.751,2.34536101584923e-12,"0","TOMM7"
1.87893661028818e-16,0.617186517752852,0.544,0.373,2.57677366734921e-12,"0","RGS10"
3.20689396090281e-16,0.331562236132779,0.921,0.831,4.39793437798211e-12,"0","RPL23"
3.22996346414814e-16,0.44355122435616,0.8,0.628,4.42957189473276e-12,"0","HSPA8"
1.7754545897388e-15,0.393010001357246,0.918,0.835,2.43485842436779e-11,"0","PABPC1"
4.50193739600092e-15,0.772112428842507,0.338,0.189,6.17395694487567e-11,"0","OCIAD2"
5.065296452261e-15,0.271148903029415,0.997,0.971,6.94654755463074e-11,"0","GNB2L1"
8.70604264912444e-15,0.766965833463423,0.4,0.251,1.19394668890093e-10,"0","PRDX2"
1.90721416550093e-14,0.545900882303399,0.479,0.332,2.61555350656797e-10,"0","FYB"
2.38263348030125e-14,0.746373645686755,0.405,0.254,3.26754355488514e-10,"0","GYPC"
2.78860951931562e-14,0.815663202539314,0.357,0.216,3.82429909478945e-10,"0","SLC2A3"
3.89061964633455e-14,0.352111209298713,0.823,0.698,5.33559578298321e-10,"0","SRSF5"
4.398953657382e-14,0.471365472944769,0.764,0.613,6.03272504573367e-10,"0","ZFP36L2"
4.40128056871602e-14,0.479258052906559,0.752,0.602,6.03591617193715e-10,"0","EIF4A2"
5.95070728012472e-14,0.351556535928754,0.654,0.498,8.16079996396304e-10,"0","GIMAP7"
6.13956872192413e-14,0.461032270952982,0.701,0.566,8.41980454524676e-10,"0","COMMD6"
8.09360865805043e-14,0.561622558709267,0.623,0.472,1.10995749136504e-09,"0","SOD1"
1.13553679262942e-13,0.257075990248549,0.978,0.957,1.55727515741198e-09,"0","EEF1D"
1.62649483063515e-13,0.255146206368166,0.991,0.963,2.23057501073304e-09,"0","NACA"
4.23912859612614e-13,0.313756556232412,0.445,0.277,5.81354095672739e-09,"0","CD2"
1.53330291571938e-12,0.466985163653218,0.45,0.304,2.10277161861756e-08,"0","CYTIP"
4.49295643098234e-12,0.334529594195713,0.809,0.717,6.16164044944918e-08,"0","JUN"
4.97724350856206e-12,0.719364874576382,0.502,0.367,6.82579174764201e-08,"0","ST13"
7.34787466781339e-12,0.513574112105335,0.488,0.343,1.00768753194393e-07,"0","PEBP1"
8.76296323382947e-12,0.433831014519007,0.481,0.321,1.20175277788737e-07,"0","CD69"
1.7603768731012e-11,0.357156999529141,0.783,0.664,2.41418084377098e-07,"0","COX7C"
2.0287128482043e-11,0.317691415550764,0.718,0.561,2.78217680002738e-07,"0","CXCR4"
3.84885500237849e-11,0.574531295378207,0.409,0.282,5.27831975026186e-07,"0","PPA1"
5.31292345691693e-11,0.317213524171799,0.896,0.784,7.28614322881587e-07,"0","DDX5"
